CookerStat, GenerateAssetRegistry=0.196867, Initialize=0.847615, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId0517927844C9071D81F6FBA3E16D0A47_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7E056A9E489A56425E96EEA99F215830__1_0_13123_0, StartTime=2016.05.05-15.34.56, HierarchicalDDC=, DataSize=501, Duration=3.196165, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId0517927844C9071D81F6FBA3E16D0A47_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_51F68849474DB6CEFF79B09568D58AE7__1_0_13123_0, StartTime=2016.05.05-15.34.56, HierarchicalDDC=, DataSize=458, Duration=1.214724, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId46E45BC34A0B28C53ACFC797E1D3CB42_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_98976DFE484D9A26CC8901ADFC01D7E2__1_0_13123_0, StartTime=2016.05.05-15.34.56, HierarchicalDDC=, DataSize=1147, Duration=3.049988, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionIdAFD12FE347583B3F5765BE96AB5B0D64_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E05E0FBF423DC3789F04809DABA4D535__1_0_13123_0, StartTime=2016.05.05-15.34.56, HierarchicalDDC=, DataSize=347, Duration=1.169152, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId0517927844C9071D81F6FBA3E16D0A47_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_19355151426F4E0FA05A60B276523FC9__1_0_13123_0, StartTime=2016.05.05-15.34.56, HierarchicalDDC=, DataSize=385, Duration=1.125120, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionIdAFD12FE347583B3F5765BE96AB5B0D64_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BBA829894276777C59FE2CBF1D87B52E__1_0_13123_0, StartTime=2016.05.05-15.34.56, HierarchicalDDC=, DataSize=501, Duration=1.502980, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId0517927844C9071D81F6FBA3E16D0A47_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3011535248DC998A4F1F989180D88B7F__1_0_13123_0, StartTime=2016.05.05-15.34.56, HierarchicalDDC=, DataSize=385, Duration=3.261443, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId46E45BC34A0B28C53ACFC797E1D3CB42_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_749E8133431F627C0E0A02A2049B72F4__1_0_13123_0, StartTime=2016.05.05-15.34.57, HierarchicalDDC=, DataSize=458, Duration=1.471747, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionIdAFD12FE347583B3F5765BE96AB5B0D64_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6F2FA47C406B4F3940767FBCC5983FCB__1_0_13123_0, StartTime=2016.05.05-15.34.57, HierarchicalDDC=, DataSize=631, Duration=2.991106, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId0517927844C9071D81F6FBA3E16D0A47_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FE934CB04CA5ED80CBF44CBB7739419F__1_0_13123_0, StartTime=2016.05.05-15.34.57, HierarchicalDDC=, DataSize=347, Duration=1.067266, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
