CookerStat, GenerateAssetRegistry=0.199936, Initialize=0.853762, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId9EC1DDAF478F903FDB0A689305F3B76E_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E230270D42A01F06EAC477966F6D407F__1_0_13123_0, StartTime=2016.05.05-19.59.38, HierarchicalDDC=, DataSize=437, Duration=1.105409, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionIdF350BF1F475E794D75B904AFDA53BEEC_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8CBCF50E46E5EE120A6D18B0E8E4EC71__1_0_13123_0, StartTime=2016.05.05-19.59.38, HierarchicalDDC=, DataSize=347, Duration=1.112066, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId99A8F854460BDAC91045BC864E22D484_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5594C6BD48C22FA7AEC776A3899A1654__1_0_13123_0, StartTime=2016.05.05-19.59.38, HierarchicalDDC=, DataSize=347, Duration=1.078784, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId9EC1DDAF478F903FDB0A689305F3B76E_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_260EAF424C7D445F4376E181011EFF94__1_0_13123_0, StartTime=2016.05.05-19.59.38, HierarchicalDDC=, DataSize=741, Duration=1.000706, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionIdF350BF1F475E794D75B904AFDA53BEEC_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_36F1BB694992E1B4CE12E1B122EE63C4__1_0_13123_0, StartTime=2016.05.05-19.59.38, HierarchicalDDC=, DataSize=547, Duration=3.075074, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId99A8F854460BDAC91045BC864E22D484_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_14AAF8F54A25341CBBBEFCAC5F72996B__1_0_13123_0, StartTime=2016.05.05-19.59.38, HierarchicalDDC=, DataSize=691, Duration=2.739716, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId9EC1DDAF478F903FDB0A689305F3B76E_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9F7371EC4F9FAEC69CD3969387931024__1_0_13123_0, StartTime=2016.05.05-19.59.38, HierarchicalDDC=, DataSize=449, Duration=2.646532, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId99A8F854460BDAC91045BC864E22D484_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2305E44D44FEF746056B4888FC0D845E__1_0_13123_0, StartTime=2016.05.05-19.59.38, HierarchicalDDC=, DataSize=347, Duration=3.055110, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionIdF350BF1F475E794D75B904AFDA53BEEC_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FF0894204065770DED6221ACD61CB959__1_0_13123_0, StartTime=2016.05.05-19.59.40, HierarchicalDDC=, DataSize=458, Duration=1.713924, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId99A8F854460BDAC91045BC864E22D484_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0713F52E4C2B3A9099A34E8159CCD732__1_0_13123_0, StartTime=2016.05.05-19.59.40, HierarchicalDDC=, DataSize=651, Duration=3.224067, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
